nome,categoria,sinopse,preco
FOGO & SANGUE – VOLUME 1,Ficção Fantasiosa,"A arrebatadora história dos Targaryen ganha vida neste livro de George R.R. Martin, autor de As Crônicas de Gelo e Fogo, que deu origem à adaptação de sucesso da HBO, ","R$ 120,89"
JANTAR SECRETO,Suspenses,"No novo romance da maior revelação da literatura de suspense no Brasil,um grupo de amigos organiza jantares misteriosos.Do criador da série original Netflix ","R$ 59,90"
IMPERFEITOS,Literatura Internacional,"Olive se sente como a gêmea azarada da casa: dos acidentes estranhamente inexplicáveis ao fracasso na
vida profissional e amorosa — nada dá certo para ela. Porém, parece que o jogo vira quando sua alergia a frutos
do mar a protege de um desastre, já que todos os convidados da festa de casamento da irmã sofrem com
intoxicação alimentar.

Na verdade... nem todos. Ethan, o irmão do noivo, também ficou de fora desse pesadelo. Então, a irmã de Olive, sempre muito prática, propõe a eles que aproveitem a viagem de lua-de-mel, que não é reembolsável, para uma ilha do Havaí.

Mas há um “pequeno” problema: Olive e Ethan são inimigos mortais. Há um passado entre eles que tornou a convivência impossível. Mas quem vai dizer não para essa viagem? Ainda mais de graça? Nem pensar! 

A ideia de ambos era ficar bem longe um do outro, mas a situação muda quando uma mentirinha boba vai crescendo e não podem voltar atrás. E dividindo a mesma suíte, entre farpas e sarcasmos, já se pode desconfiar.... onde tem raiva tem fogo?

Com diálogos inteligentes e divertidos, dois personagens cativantes, e cenários de tirar o fôlego, Imperfeitos é o livro ideal para rir sem parar e ainda ver uma história de amor nascer no lugar mais improvável.","R$ 29,90"
TUDO SOBRE O AMOR - NOVAS PERSPECTIVAS,Literatura Internacional,"O que é o amor, afinal? Será esta uma pergunta tão subjetiva, tão opaca? Para bell hooks, quando pulverizamos seu significado, ficamos cada vez mais distantes de entendê-lo. Neste livro, primeiro volume de sua Trilogia do Amor, a autora procura elucidar o que é, de fato, o amor, seja nas relações familiares, românticas e de amizade ou na vivência religiosa. Na contramão do pensamento corrente, que tantas vezes entende o amor como sinal de fraqueza e irracionalidade, bell hooks defende que o amor é mais do que um sentimento - é uma ação capaz de transformar o niilismo, a ganância e a obsessão pelo poder que dominam nossa cultura. É através da construção de uma ética amorosa que seremos capazes de edificar uma sociedade verdadeiramente igualitária, fundamentada na justiça e no compromisso com o bem-estar coletivo.

Em uma sociedade que considera falar de amor algo naïf, a proposta apresentada por bell hooks ao escrever sobre o tema é corajosa e desafiadora. E o desafio é colocarmos o amor na centralidade da vida. Ao afirmar que começou a pensar e a escrever sobre o amor quando encontrou ","R$ 66,00"
É ASSIM QUE ACABA,Romances,"Considerado o livro do ano, que virou febre no TikTok e sozinho já acumulou mais de um milhão de exemplares vendidos no Brasil. É assim que acaba é o romance mais pessoal da carreira de Colleen Hoover, discutindo temas como violência doméstica e abuso psicológico de forma sensível e direta. 
                
 
Em É assim que acaba, Colleen Hoover nos apresenta Lily, uma jovem que se mudou de uma cidadezinha do Maine para Boston, se formou em marketing e abriu a própria floricultura. E é em um dos terraços de Boston que ela conhece Ryle, um neurocirurgião confiante, teimoso e talvez até um pouco arrogante, com uma grande aversão a relacionamentos, mas que se sente muito atraído por ela.
Quando os dois se apaixonam, Lily se vê no meio de um relacionamento turbulento que não é o que ela esperava. Mas será que ela conseguirá enxergar isso, por mais doloroso que seja?

                    É assim que acaba é uma narrativa poderosa sobre a força necessária para fazer as escolhas certas nas situações mais difíceis. Considerada a obra mais pessoal de Hoover, o livro aborda sem medo alguns tabus da sociedade para explorar a complexidade das relações tóxicas, e como o amor e o abuso muitas vezes coexistem em uma confusão de sentimentos.
 
“Um romance corajoso, de partir o coração, que enfia as garras em você e não te solta... Ninguém escreve sobre sentimentos tão bem quanto Colleen Hoover.” -Anna Todd, autora da série After
                
“...Você vai sorrir em meio às lágrimas.” - Sarah Pekkanen, autora de Perfect Neighbors
                
“Imperdível. Com um drama fascinante e verdades dolorosas, esse livro retrata de maneira poderosa a devastação que o abuso pode causar - e a força de quem sobrevive a ele...” - Kirkus Review","R$ 65,89"
UMA SEGUNDA CHANCE (FENÔMENO DO TIKTOK),Romances,"Será que todos merecem uma segunda chance? É o que mais deseja Kenna Rowan, na luta para recuperar os pedaços estilhaçados de sua antiga vida após um trágico acidente ter colocado tudo a perder. Uma segunda chance é o tão esperado novo romance de Colleen Hoover, CoHo para os íntimos, autora fenômeno de vendas, que já ultrapassou a marca de 1 milhão de exemplares vendidos no Brasil. 
                
 
Depois de passar cinco anos na prisão após um trágico acidente, Kenna Rowan retorna à cidade onde tudo deu errado, esperando poder viver ao lado da filha pequena. Mas agora os abismos criados por Kenna parecem instransponíveis. Todos ao redor da sua filha estão determinados a rejeitar Kenna, não importa o quanto ela tente provar que mudou.
A única pessoa que não a ignora é Ledger Ward, dono de um bar e um dos poucos elos que ainda lhe resta com a criança. Porém, se os moradores da cidade desconfiarem de que Ledger vem se tornando importante na vida de Kenna, ambos correrão o risco de perder tudo o que mais importa para eles.
Com pontos de vista alternados entre os dois personagens, Uma segunda chance explora o quanto julgamentos apressados baseados em informações que podem não ser verdadeiras tem o potencial de acabar com a vida das pessoas.
 
“Como sempre, a autora criou personagens fascinantes que são magnéticos e atraem o leitor. Além da questão do luto, a história também explora com inteligência assuntos como culpa, redenção e perdão.” - Kirkus Reviews
                
“Uma obra-prima tocante sobre perda e esperança, luto e redenção, e da cura através do poder do amor.” - Pop Sugar 
                
“Hoover vai fundo na questão do luto e da culpa para criar uma história multifacetada de redenção com personagens que brigam tão intensamente quanto amam.” - Publishers Weekly","R$ 65,89"
A HORA DA ESTRELA,Literatura Nacional,"Pouco antes de morrer, em 1977, Clarice Lispector decide se afastar da inflexão intimista que caracteriza sua escrita para desafiar a realidade. O resultado desse salto na extroversão é 
                    A hora da estrela, o livro mais surpreendente que escreveu. Se desde 
                    Perto do coração selvagem, seu romance de estreia, Clarice estava de corpo inteiro, todo o tempo, no centro de seus relatos, agora a cena é ocupada por personagens que em nada se parecem com ela.
                    A nordestina Macabéa, a protagonista de 
                    A hora da estrela, é uma mulher miserável, que mal tem consciência de existir. Depois de perder seu único elo com o mundo, uma velha tia, ela viaja para o Rio, onde aluga um quarto, se emprega como datilógrafa e gasta suas horas ouvindo a Rádio Relógio. Apaixona-se, então, por Olímpico de Jesus, um metalúrgico nordestino, que logo a trai com uma colega de trabalho. Desesperada, Macabéa consulta uma cartomante, que lhe prevê um futuro luminoso, bem diferente do que a espera.
                    Clarice cria até um falso autor para seu livro, o narrador Rodrigo S.M., mas nem assim consegue se esconder. O desejo de desaparecimento, que a morte real logo depois consolidaria, se frustra. 
                    Entre a realidade e o delírio, buscando social enquanto sua alma a engolfava, Clarice escreveu um livro singular. 
                    A hora da estrela é um romance sobre o desamparo a que, apesar do consolo da linguagem, todos estamos entregues.
                    — 
                    JOSÉ CASTELLO, 
                    Jornalista, escritor e Mestre em Comunicação pela UFRJ","R$ 38,39"
IMPOSTORA: YELLOWFACE,Literatura Internacional,"Da autora de 
                        A Guerra da Papoula 
                        e 
                        Babel
                        , um 
                        thriller
                        ácido e certeiro sobre apropriação cultural, racismo e as mazelas do mercado
editorial
                    
                
                As escritoras
June Hayward e Athena Liu se formaram em Yale e publicaram seus romances de
estreia na mesma época. Tudo indicava que chegariam juntas ao estrelato, mas,
pouco depois da graduação, Athena começou a colher louros literários, enquanto
June recebeu apenas migalhas de reconhecimento. Afinal, ninguém aguenta mais
ler histórias de mulheres brancas — ao menos é o que June pensa.
                Quando Athena
morre em um estranho incidente, June decide que chegou seu momento de brilhar.
Por impulso, ela rouba o manuscrito do novo livro da amiga, uma obra
experimental sobre a relevância dos trabalhadores chineses durante a Primeira
Guerra Mundial.
                O texto é
brilhante. E June recebe uma proposta de publicação de sua editora, que sugere
um reposicionamento de mercado. E se ela passasse a usar um nome ambíguo, como
Juniper Song? June aceita, pois se uma história é boa, precisa ser contada. E
as listas de mais vendidos a fazem acreditar que está no caminho certo.
                Mas
alguém parece saber que a obra-prima de Athena Liu foi roubada, e debates sobre
plágio e identidade racial ganham as redes sociais. June então percebe que não poderá
escapar desse fantasma para sempre. Do que ela será capaz para proteger o sucesso
que acredita merecer?
                
                    R.F. Kuang mostra a versatilidade de sua escrita
ao construir um retrato satírico de como diversidade, racismo e apropriação
cultural são abordados em uma indústria que se considera livre de preconceitos,
mas que não escapa das armadilhas e crueldades de um sistema que reproduz
discriminações.","R$ 59,90"
CHAMA DE FERRO,Ficção Fantasiosa,"A ESPERADA SEQUÊNCIA DO FENÔMENO MUNDIAL QUARTA ASA!
                
                
                
                    LIVRO #2 DA SÉRIE ","R$ 179,90"
A EMPREGADA ESTÁ DE OLHO (A EMPREGADA – LIVRO 3),Suspenses,"O terceiro livro da série iniciada com 
                        A empregada
                        , que já vendeu mais de 3 milhões de exemplares em todo o mundo.
                    
                
                
                
                    Cuidado com os seus vizinhos.
                
                
                
                
                    Millie acreditava que havia deixado seus segredos mais sombrios para trás...
                
                
                
                    “Para os fãs de Stephen King e Agatha Christie, uma obra viciante, emocionante e real. O livro mais marcante e necessário da série.” – 
                    Thiago Neiva
                    , tiktoker com mais de 800 mil seguidores
                
                
                
                
                Acostumada a limpar a casa dos outros, Millie mal consegue acreditar que agora esta realmente pertence a ela. A cozinha charmosa, a tranquila rua sem saída, o quintal enorme. Ela e o marido, Enzo, economizaram por muitos anos para poder dar aos dois filhos a vida que eles merecem.
                
                Como nada é perfeito, assim que ela conhece a Sra. Lowell, sua nova vizinha, a mulher a deixa desconfortável com suas críticas disfarçadas de elogios e a intimidade forçada com que trata Enzo. Mas, ao receber um convite dela para jantar, Millie tem a oportunidade perfeita para desfazer a má impressão.
                
                Quando a empregada dos Lowells abre a porta, de avental branco e os cabelos presos num coque apertado, Millie está decidida a ser simpática, afinal, sabe exatamente como é estar nessa posição. Só que o olhar insistente dela lhe dá calafrios. E essa não é a única coisa esquisita no novo bairro.
                
                Millie passa a ver uma figura sinistra sempre à espreita, observando sua família, e, para piorar, seu marido começa a fazer passeios noturnos misteriosos.  Como se não bastasse, a vizinha do outro lado da rua a adverte: “Se eu fosse você, tomaria cuidado com aquela mulher.”
                
                Será que comprar essa casa foi um erro? Millie acreditava que havia deixado seus segredos mais sombrios para trás, mas talvez esse bairro aprazível seja o lugar mais perigoso de todos.","R$ 59,90"
A GUERRA DA PAPOULA VOL.1,Ficção Fantasiosa,"Considerada uma das melhores fantasias de todos os tempos, A Guerra da Papoula narra a jornada mágica e sangrenta de uma jovem em uma nação prestes a ruir
                
                A guerra está no coração do Império Nikara, e o ópio corre em suas veias. No passado, os heróis que formaram a Trindade uniram a nação contra a poderosa Federação de Mugen, e acreditava-se que eles caminhavam entre os deuses.
                Décadas depois, a paz reina, mas há boatos de que a Terceira Guerra da Papoula pode estourar a qualquer momento, e a academia militar mais prestigiada do Império prepara seus estudantes para o combate: filhos da elite e, inesperadamente, uma órfã de guerra.
                Obrigada a se casar com um homem asqueroso, a jovem Rin fez de tudo para reescrever o próprio destino. Estudou para o exame imperial por pura teimosia e, quando conseguiu uma vaga na academia, acreditou estar salva.
                Mas ela logo aprende que uma garota pobre e de pele escura não tem muito valor naquele lugar. Hostilizada pelos professores e colegas, Rin treina com afinco. Com a ajuda de um mestre excêntrico e de substâncias psicoativas, a jovem passa a cultivar poderes xamânicos e a acessar a força incandescente de uma deusa vingativa, a perigosa Fênix.
                Quando o conflito com o país vizinho eclode, Rin entende que, para ganhar a guerra, talvez tenha que perder sua humanidade.
                Em A Guerra da Papoula, R.F. Kuang constrói com maestria um universo de deuses e monstros inspirado na Segunda Guerra Sino-Japonesa, na história militar da China no século XX e na ascensão de Mao Tsé-Tung ao poder. Considerado uma das 100 melhores fantasias de todos os tempos pela revista Time, o livro é uma história brutal e comovente sobre uma jovem que deseja salvar sua nação a qualquer custo e as consequências devastadoras da guerra.","R$ 87,89"
ORAÇÃO PARA DESAPARECER,Literatura Nacional,"Primeiro romance de Socorro Acioli após A cabeça do santo, Oração para Desaparecer conta a história de uma mulher que, sem lembrança nenhuma de seu passado, precisa reconstruir a vida em um lugar completamente desconhecido, apenas com a língua portuguesa como porto seguro.
                
Cida, uma mulher sem identidade nem memória, reconstrói pouco a pouco uma nova vida em um lugar completamente desconhecido. Jorge encontra nessa misteriosa estrangeira uma paixão inesperada, que recria o que não parece provável. Do outro lado do Atlântico, Joana é o fantasma de um amor há muitos anos perdido por Miguel.Quando os quatro personagens se entrecruzam no tempo em busca de respostas para as próprias angústias, se deparam também com uma trama fantástica sobre magia, ancestralidade e pertencimento. Oração para Desaparecer é uma das histórias possíveis sobre o amor e seu poder de dissolver as barreiras do imponderável.
“Oração para Desaparecer é um romance de viagem. […] Escrito com vigor e dedicação, Socorro contribui para ampliar uma literatura com memória, em que a imaginação ativa é capaz de construir diversas realidades, apresentadas com verossimilhança e beleza. É um romance que prende e convence até os leitores incrédulos. Não se pode pedir mais, resta apenas agradecer.” — Pilar del Río
“Socorro Acioli regressa à ficção e ao universo mágico tão bem trabalhados em A cabeça do santo, com um enredo extremamente bem-sucedido, misturando lendas indígenas do nordeste brasileiro com tradições portuguesas. Oração para Desaparecer é uma belíssima história de amor, que une Portugal e o Brasil, resgatando a grande arte da pura fabulação.” — Mia Couto","R$ 69,90"
UNICÓRNIOS - BORRACHAS DIVERTIDAS,Literatura Internacional,"Encante-se e divirta-se a valer com este kit de colorir! Além de um livro cheio de unicórnios, você vai encontrar lápis de cor, borrachas coloridas e em diferentes formatos, e um apontador! Não é demais?","R$ 59,90"
A BIBLIOTECA DA MEIA-NOITE,Romances,,"R$ 65,89"
A PACIENTE SILENCIOSA,Suspenses,"Após cometer o assassinado de seu marido, uma mulher se recusa a falar qualquer coisa, deixando suspeitas e mistérios não resolvidos sobre o caso. E o terapeuta Theo Faber 
                    está obcecado em descobrir o motivo da violencia e do silencio. Só ela sabe o que aconteceu. Só ele pode fazê-la falar. A paciente silenciosa é um daqueles livros que não saem da cabeça do leitor, quer ele queira, quer não.
                
 
Alicia Berenson tinha uma vida perfeita. Ela era uma pintora famosa casada com um fotógrafo bem-sucedido e morava numa área nobre de Londres que dá para o parque de Hampstead Heath. Certa noite, Gabriel, seu marido, voltou tarde para casa depois de um ensaio para a Vogue, e de repente a vida de Alicia mudou completamente...
Alicia tinha 33 anos quando deu cinco tiros no rosto do marido, e ela nunca mais disse uma palavra.
A recusa de Alicia a falar ou a dar qualquer explicação transforma essa tragédia doméstica em algo muito maior - um mistério que atrai a atenção do público e aumenta ainda mais a fama da pintora. Entretanto, enquanto seus quadros passam a ser mais valorizados que nunca, ela é levada para o Grove, um hospital psiquiátrico judiciário na zona norte de Londres.
Enquanto isso, Theo Faber é um psicoterapeuta forense que espera há muito tempo por uma oportunidade de trabalhar com Alicia. Ele tem certeza de que é a pessoa certa para lidar com o caso. No entanto, sua determinação para fazê-la falar e desvendar o mistério de por que ela atirou no marido o arrasta para um caminho tortuoso que sugere que as raízes do silêncio de Alicia são muito mais profundas do que ele jamais poderia imaginar.
Porém, se ela falar, ele será capaz de ouvir a verdade?

                    A paciente silenciosa é thrillers psicológico impactante, com um mistério envolvente com um final eletrizante que faz o leitor questionar tudo que acabou de ler.

                    Best-seller do The New York Times.
                    
                
 
“Uma mistura de suspense hitchcockiano, trama de Agatha Christie e tragédia grega” - Entertainment Weekly
                
“Um thriller psicológico provocativo e com uma trama intrincada que coloca Alex Michaelides entre os grandes autores do gênero.” - Publishers Weekly","R$ 65,89"
